File;Riga;Stringa
eeprom_24lc16/test/eeprom_test.c;24;\0
eeprom_24lc16/test/eeprom_test.c;28;Invalid JSON
eeprom_24lc16/test/eeprom_test.c;35;Missing 'op
eeprom_24lc16/test/eeprom_test.c;142;\0
eeprom_24lc16/test/eeprom_test.c;255;application/json
eeprom_24lc16/test/eeprom_test.c;303;\0
sd_card/sd_card.c;214;Test di montaggio OK
sd_card/sd_card.c;294;0:
sd_card/sd_card.c;341;Scheda pulita e formattata
sd_card/sd_card.c;399;\0
sd_card/sd_card.c;423;\0
sd_card/sd_card.c;752;Elenco file in %s:\n
sd_card/sd_card.c;753;- mock1.txt (1234 byte)\n
sd_card/sd_card.c;754;- mock2.log (5678 byte)\n
sd_card/sd_card.c;755;- mock3.bin (0 byte)\n
sd_card/sd_card.c;756;- mock4.cfg (42 byte)\n
sd_card/sd_card.c;764;MockupData\n
device_activity/device_activity.c;34;Start program
device_activity/device_activity.c;40;Stop program
device_activity/device_activity.c;91;\0
device_activity/device_activity.c;115;\0
usb_cdc_scanner/usb_cdc_scanner.c;33;usb/cdc_acm_host.h not available: CDC-ACM features will be disabled until the component is added
usb_cdc_scanner/usb_cdc_scanner.c;60;"0000#SCNMOD3;RRDENA1;CIDENA1;SCNENA0;RRDDUR3000;"
usb_cdc_scanner/usb_cdc_scanner.c;61;"0000#SCNENA*;"
usb_cdc_scanner/usb_cdc_scanner.c;62;"0000#SCNENA1;"
usb_cdc_scanner/usb_cdc_scanner.c;63;"0000#SCNENA0;"
usb_cdc_scanner/usb_cdc_scanner.c;83;\r
usb_cdc_scanner/usb_cdc_scanner.c;83;\n
usb_cdc_scanner/usb_cdc_scanner.c;85;\0
usb_cdc_scanner/usb_cdc_scanner.c;154;[Sperimentali] device attached
usb_cdc_scanner/usb_cdc_scanner.c;190;[Sperimentali] Failed to open device for descriptor dump
usb_cdc_scanner/usb_cdc_scanner.c;196;[Sperimentali] device removed
usb_cdc_scanner/usb_cdc_scanner.c;596;\r
usb_cdc_scanner/usb_cdc_scanner.c;596;\n
modbus_relay/modbus_relay.c;192;[C] Modbus master avviato su UART%d (slave=%u, baud=%lu)
error_log/error_log.c;88;E (
error_log/error_log.c;98;--- error log start ---\n
error_log/error_log.c;156;--- error log start ---\n
http_services/keepalive_task.c;46;"{\""status\"":\""OK\"",\""timestamp\"":%lld,\""temperature\"":%ld,\""humidity\"":%ld}"
http_services/http_services.c;75;\0
http_services/http_services.c;105;\0
http_services/http_services.c;125;\0
http_services/http_services.c;144;\0
http_services/http_services.c;157;[C] Stato server remoto: %s (%s)
http_services/http_services.c;159;n/a
http_services/http_services.c;167;\0
http_services/http_services.c;170;\0
http_services/http_services.c;242;[C] Sync runtime server remoto fallita: %s
http_services/http_services.c;260;\0
http_services/http_services.c;266;\0
http_services/http_services.c;268;[C] access_token troppo lungo (%u >= %u) da %s
http_services/http_services.c;277;[C] access_token salvato da %s (len=%u)
http_services/http_services.c;302;\0
http_services/http_services.c;345;\0
http_services/http_services.c;398;\0
http_services/http_services.c;413;<empty body>
http_services/http_services.c;449;\0
http_services/http_services.c;466;"{\""iserror\"":true,\""codeerror\"":503,\""deserror\"":\""debug_post_disabled\""}"
http_services/http_services.c;483;"{\""iserror\"":true,\""codeerror\"":503,\""deserror\"":\""remote_disabled\""}"
http_services/http_services.c;492;[C] POST remoto bloccato: server disabilitato (path=%s)
http_services/http_services.c;493;(null)
http_services/http_services.c;535;\0
http_services/http_services.c;535;\0
http_services/http_services.c;559;application/json
http_services/http_services.c;562;2026-01-23T13:25:13.218763+01:00
http_services/http_services.c;581;{}
http_services/http_services.c;603;OUT Authorization
http_services/http_services.c;604;OUT Header: Content-Type
http_services/http_services.c;607;\0
http_services/http_services.c;611;OUT Body
http_services/http_services.c;616;OUT Body: <empty>
http_services/http_services.c;660;\0
http_services/http_services.c;673;\0
http_services/http_services.c;676;First RESP chunk
http_services/http_services.c;684;\0
http_services/http_services.c;708;\0
http_services/http_services.c;768;RESP Body
http_services/http_services.c;773;RESP Body: <empty>
http_services/http_services.c;814;"{\""iserror\"":true,\""codeerror\"":503,\""deserror\"":\""remote_disabled\""}"
http_services/http_services.c;815;application/json
http_services/http_services.c;824;[C] Richiesta locale bloccata: server remoto disabilitato (path=%s)
http_services/http_services.c;825;(null)
http_services/http_services.c;832;{}
http_services/http_services.c;836;(null)
http_services/http_services.c;839;(null)
http_services/http_services.c;842;\0
http_services/http_services.c;847;\0
http_services/http_services.c;850;IN body_to_send (sample)
http_services/http_services.c;866;application/json
http_services/http_services.c;868;"{\""iserror\"":true,\""codeerror\"":401,\""deserror\"":\""login_refresh_failed\""}"
http_services/http_services.c;883;\0
http_services/http_services.c;886;IN Authorization
http_services/http_services.c;900;Login body
http_services/http_services.c;910;\0
http_services/http_services.c;921;"{\""iserror\"":true,\""codeerror\"":502,\""deserror\"":\""remote_error\""}"
http_services/http_services.c;922;application/json
http_services/http_services.c;944;forward_post/login
http_services/http_services.c;950;Stored access_token
http_services/http_services.c;958;application/json
http_services/http_services.c;964;{}
http_services/http_services.c;995;Authorization header missing
http_services/http_services.c;1002;Out of memory
http_services/http_services.c;1009;Authorization header missing
http_services/http_services.c;1017;Invalid Authorization header
http_services/http_services.c;1025;Invalid or expired token
http_services/http_services.c;1035;Failed to receive payload
http_services/http_services.c;1038;\0
http_services/http_services.c;1044;Invalid JSON
http_services/http_services.c;1064;Invalid fields in JSON
http_services/http_services.c;1089;2026-01-23T13:25:13.218763+01:00
http_services/http_services.c;1100;application/json
http_services/http_services.c;1216;\0
http_services/http_services.c;1216;\0
http_services/http_services.c;1225;"{\""serial\"":\""%s\"",\""password\"":\""%s\""}"
http_services/http_services.c;1256;\0
http_services/http_services.c;1291;login_failed:%s
http_services/http_services.c;1320;\0
http_services/http_services.c;1448;\0
http_services/http_services.c;1456;login_failed:%s
http_services/http_services.c;1471;\0
http_services/http_services.c;1472;\0
http_services/http_services.c;1473;\0
http_services/http_services.c;1478;\0
http_services/http_services.c;1479;\0
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;81;invalid arguments
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;84;invalid vendor config
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;88;no mem for ili9881c panel
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;96;configure GPIO for RST line failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;108;unsupported color space
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;124;unsupported pixel width
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;164;create MIPI DPI panel failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;476;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;479;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;482;io tx param failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;489;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;494;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;538;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;552;init MIPI DPI panel failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;581;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;602;invalid panel IO
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;612;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;632;invalid panel IO
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;652;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;672;invalid panel IO
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;684;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;712;send command failed
waveshare__esp_lcd_ili9881c/esp_lcd_ili9881c.c;741;send command failed
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;213;test ili9881c to draw pattern with MIPI interface
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;213;[ili9881c][draw_pattern]
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;229;test ili9881c to draw color bar with MIPI interface
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;229;[ili9881c][draw_color_bar]
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;242;test ili9881c to mirror with MIPI interface
waveshare__esp_lcd_ili9881c/test_apps/main/test_esp_lcd_ili9881c.c;242;[ili9881c][mirror]
cctalk/cctalk_driver.c;185;[C] 229 ev=%u
cctalk/cctalk_driver.c;192;\0
cctalk/cctalk_driver.c;201;prev=%u delta=%u
cctalk/cctalk_driver.c;213;\0
cctalk/cctalk_driver.c;221;[%u:%u/%u]
cctalk/cctalk_driver.c;231;\0
cctalk/cctalk_driver.c;268;\0
cctalk/cctalk_driver.c;295;\0
cctalk/cctalk_driver.c;448;BUFFER ev %u->%u (+%u)
cctalk/cctalk_driver.c;464;BUFFER overflow: +%u eventi, elaboro ultimi 5
cctalk/cctalk_driver.c;487;\0
cctalk/cctalk_driver.c;516;EVENTO ERR%u %s
cctalk/cctalk_driver.c;543;POLL buffered credit timeout/errore
cctalk/cctalk_driver.c;581;START event received
cctalk/cctalk_driver.c;588;START ok
cctalk/cctalk_driver.c;591;STOP event received
cctalk/cctalk_driver.c;598;STOP ok
cctalk/cctalk_driver.c;618;MASK master_inhibit_std fail
cctalk/cctalk_driver.c;626;MASK ok
cctalk/cctalk_driver.c;673;[C] driver init UART=%d tx=%d rx=%d (single-wire adattato su RX/TX MH1001)
cctalk/cctalk_driver.c;699;GETTONIERA start sequenza
cctalk/cctalk_driver.c;728;Inhibit mask FF FF FAIL
cctalk/cctalk_driver.c;739;Master Inhibit STD (228) FAIL
cctalk/cctalk_driver.c;755;GETTONIERA abilitata (accettazione ON)
cctalk/cctalk_driver.c;787;Master Inhibit=0 (inibito) FAIL
cctalk/cctalk_driver.c;791;GETTONIERA disabilitata
cctalk/cctalk_driver.c;914;[MOCK] START event received
cctalk/cctalk_driver.c;916;[MOCK] START ok
cctalk/cctalk_driver.c;918;[MOCK] STOP event received
