File;Riga;Stringa
eeprom_24lc16/eeprom_24lc16.c;1;eeprom_24lc16.h
eeprom_24lc16/eeprom_24lc16.c;2;periph_i2c.h
eeprom_24lc16/eeprom_24lc16.c;3;esp_log.h
eeprom_24lc16/eeprom_24lc16.c;4;sdkconfig.h
eeprom_24lc16/eeprom_24lc16.c;6;freertos/FreeRTOS.h
eeprom_24lc16/eeprom_24lc16.c;7;freertos/task.h
eeprom_24lc16/eeprom_24lc16.c;9;EEPROM
eeprom_24lc16/eeprom_24lc16.c;69;INIT
eeprom_24lc16/eeprom_24lc16.c;69;[M] EEPROM init: dispositivo rilevato su 0x%02X
eeprom_24lc16/eeprom_24lc16.c;78;INIT
eeprom_24lc16/eeprom_24lc16.c;78;[M] EEPROM init: INIZIO funzione
eeprom_24lc16/eeprom_24lc16.c;79;[M] EEPROM init: INIZIO funzione
eeprom_24lc16/eeprom_24lc16.c;88;[M] EEPROM init: Attendo periph_i2c... tentativo %d/10
eeprom_24lc16/eeprom_24lc16.c;95;INIT
eeprom_24lc16/eeprom_24lc16.c;95;[M] DEBUG: bus handle dopo retry = %p, retry_count=%d
eeprom_24lc16/eeprom_24lc16.c;97;INIT
eeprom_24lc16/eeprom_24lc16.c;97;[M] EEPROM init: Periph I2C bus not initialized dopo %d tentativi
eeprom_24lc16/eeprom_24lc16.c;98;[M] EEPROM init: Periph I2C bus not initialized dopo %d tentativi
eeprom_24lc16/eeprom_24lc16.c;102;INIT
eeprom_24lc16/eeprom_24lc16.c;102;[M] EEPROM init: Utilizzo bus I2C periferiche (GPIO%d SCL, GPIO%d SDA)
eeprom_24lc16/eeprom_24lc16.c;108;INIT
eeprom_24lc16/eeprom_24lc16.c;108;[M] EEPROM init: nessuna EEPROM rilevata tra 0x50 e 0x57 (%s)
eeprom_24lc16/eeprom_24lc16.c;127;INIT
eeprom_24lc16/eeprom_24lc16.c;127;[M] EEPROM init: fallita add_device su 0x%02X: %s
eeprom_24lc16/eeprom_24lc16.c;137;INIT
eeprom_24lc16/eeprom_24lc16.c;137;[M] EEPROM init: handle non valido per blocco %u
eeprom_24lc16/eeprom_24lc16.c;153;INIT
eeprom_24lc16/eeprom_24lc16.c;153;[M] EEPROM init: 24LC16BT trovata e pronta
eeprom_24lc16/eeprom_24lc16.c;159;INIT
eeprom_24lc16/eeprom_24lc16.c;159;[M] EEPROM TEST: Lettura locazione 400 -> valore originale: 0x%02X (%d)
eeprom_24lc16/eeprom_24lc16.c;162;INIT
eeprom_24lc16/eeprom_24lc16.c;162;[M] EEPROM TEST: Valore modificato (XOR 256): 0x%02X (%d)
eeprom_24lc16/eeprom_24lc16.c;166;INIT
eeprom_24lc16/eeprom_24lc16.c;166;[M] EEPROM TEST: Scrittura completata
eeprom_24lc16/eeprom_24lc16.c;172;INIT
eeprom_24lc16/eeprom_24lc16.c;172;[M] EEPROM TEST: Verifica lettura -> valore: 0x%02X (%d)
eeprom_24lc16/eeprom_24lc16.c;175;INIT
eeprom_24lc16/eeprom_24lc16.c;175;[M] EEPROM TEST: ✅ Verifica SUCCESSO - dato corretto
eeprom_24lc16/eeprom_24lc16.c;180;INIT
eeprom_24lc16/eeprom_24lc16.c;180;[M] EEPROM TEST: ✅ Valore originale ripristinato con successo
eeprom_24lc16/eeprom_24lc16.c;182;INIT
eeprom_24lc16/eeprom_24lc16.c;182;[M] EEPROM TEST: ❌ Errore ripristino valore originale: %s
eeprom_24lc16/eeprom_24lc16.c;185;INIT
eeprom_24lc16/eeprom_24lc16.c;185;[M] EEPROM TEST: ❌ Verifica FALLITA - atteso: 0x%02X, letto: 0x%02X
eeprom_24lc16/eeprom_24lc16.c;188;INIT
eeprom_24lc16/eeprom_24lc16.c;188;[M] EEPROM TEST: ❌ Errore verifica lettura: %s
eeprom_24lc16/eeprom_24lc16.c;191;INIT
eeprom_24lc16/eeprom_24lc16.c;191;[M] EEPROM TEST: ❌ Errore scrittura: %s
eeprom_24lc16/eeprom_24lc16.c;194;INIT
eeprom_24lc16/eeprom_24lc16.c;194;[M] EEPROM TEST: ❌ Errore lettura iniziale: %s
eeprom_24lc16/eeprom_24lc16.c;198;INIT
eeprom_24lc16/eeprom_24lc16.c;198;[M] EEPROM init: 24LC16BT non presente su indirizzo 0x%02X (%s)
eeprom_24lc16/test/eeprom_test.h;2;esp_http_server.h
eeprom_24lc16/test/eeprom_test.c;1;eeprom_test.h
eeprom_24lc16/test/eeprom_test.c;2;eeprom_24lc16.h
eeprom_24lc16/test/eeprom_test.c;3;device_config.h
eeprom_24lc16/test/eeprom_test.c;4;esp_log.h
eeprom_24lc16/test/eeprom_test.c;5;cJSON.h
eeprom_24lc16/test/eeprom_test.c;10;EEPROM_TEST
eeprom_24lc16/test/eeprom_test.c;20;Ricevuta richiesta test EEPROM
eeprom_24lc16/test/eeprom_test.c;24;\0
eeprom_24lc16/test/eeprom_test.c;28;Invalid JSON
eeprom_24lc16/test/eeprom_test.c;32;op
eeprom_24lc16/test/eeprom_test.c;35;Missing 'op
eeprom_24lc16/test/eeprom_test.c;41;read
eeprom_24lc16/test/eeprom_test.c;42;addr
eeprom_24lc16/test/eeprom_test.c;43;len
eeprom_24lc16/test/eeprom_test.c;53;status
eeprom_24lc16/test/eeprom_test.c;53;error
eeprom_24lc16/test/eeprom_test.c;54;error
eeprom_24lc16/test/eeprom_test.c;54;range_out_of_bounds
eeprom_24lc16/test/eeprom_test.c;55;addr
eeprom_24lc16/test/eeprom_test.c;56;len
eeprom_24lc16/test/eeprom_test.c;57;max_size
eeprom_24lc16/test/eeprom_test.c;62;status
eeprom_24lc16/test/eeprom_test.c;62;error
eeprom_24lc16/test/eeprom_test.c;63;error
eeprom_24lc16/test/eeprom_test.c;63;eeprom_not_available
eeprom_24lc16/test/eeprom_test.c;69;status
eeprom_24lc16/test/eeprom_test.c;69;error
eeprom_24lc16/test/eeprom_test.c;70;error
eeprom_24lc16/test/eeprom_test.c;70;no_memory
eeprom_24lc16/test/eeprom_test.c;80;data
eeprom_24lc16/test/eeprom_test.c;81;status
eeprom_24lc16/test/eeprom_test.c;81;ok
eeprom_24lc16/test/eeprom_test.c;83;status
eeprom_24lc16/test/eeprom_test.c;83;error
eeprom_24lc16/test/eeprom_test.c;84;error
eeprom_24lc16/test/eeprom_test.c;85;addr
eeprom_24lc16/test/eeprom_test.c;86;len
